Algorithm,Time
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2265.2945
baseline_degree_mix_mass_12_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2302.8975
baseline_degree_mix_mass_1_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2230.0786
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2550.4403
baseline_degree_mix_mass_6_SF_10_Dir+SF_10_Sym+HY_10_mNN_12_L2_drop0.3_S1,1444.4153
baseline_degree_mix_mass_2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,1935.8947
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,1640.9257
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,1950.3415
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,2187.1694
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,2173.942
baseline_degree_mix_mass_5_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2260.118
baseline_degree_mix_mass_1_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,2517.9874
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,2238.4432
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,2259.0215
