Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
abcde_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_64_drop0.3_S3,1.172596,3.021522,4.528922,0.590634,1.964070,0.031025,0.095799,0.041375,4.948811,1.873558,0.056930,0.476993,0.860743,1.804535
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_mNN+HY_10_Sym_12_L2_drop0.3_S3,0.365988,1.025165,1.985770,0.193660,0.565506,0.008244,0.016467,0.015666,1.937439,0.849653,0.022501,0.139245,0.172595,0.807817
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_mNN+HY_10_Sym_12_L2_drop0.3_S1,0.796881,2.477657,4.070320,0.322900,1.181365,0.017787,0.029785,0.025914,4.061367,1.917450,0.042154,0.271363,0.362582,1.512964
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_64_drop0.3_S3,2.598339,6.203323,9.786029,1.286269,4.274527,0.088483,0.219446,0.085975,10.097157,4.056078,0.120204,0.987820,1.902278,3.911290
abcde_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_64_drop0.3_S2,0.541730,1.230768,2.010885,0.258785,0.911567,0.008412,0.028701,0.010478,2.089029,0.820759,0.013226,0.168360,0.404855,0.812133
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_64_drop0.3_S2,0.501603,1.086875,1.756695,0.350862,0.778325,0.027391,0.073963,0.035695,1.794976,0.843004,0.026484,0.271052,0.406919,0.846174
baseline_degree_mix_mass_3_SF_10_Dir_12_L2_drop0.3_S1,0.259051,0.745099,1.466524,0.138619,0.400170,0.007779,0.015144,0.011287,1.430269,0.643418,0.018050,0.100780,0.122340,0.599889
baseline_degree_mix_mass_3_SF_10_Sym_12_L2_drop0.3_S1,0.559103,1.721948,2.808669,0.235234,0.852864,0.013456,0.024276,0.01966,2.804919,1.319082,0.030804,0.194309,0.272750,1.067740
baseline_degree_mix_mass_3_HY_10_Dir_12_L2_drop0.3_S2,0.365715,1.029203,1.983553,0.186168,0.565659,0.009908,0.019198,0.01568,1.940643,0.850305,0.022567,0.140670,0.173864,0.807961
baseline_degree_mix_mass_3_SF_10_Dir_12_L2_drop0.3_S2,0.784372,2.235846,3.890142,0.351207,1.244169,0.01929,0.036803,0.028938,4.075938,1.808305,0.045305,0.274190,0.413811,1.555311
baseline_degree_mix_mass_3_SF_10_Sym_12_L2_drop0.3_S2,0.791754,2.243613,3.912960,0.353708,1.250112,0.019547,0.037234,0.029199,4.102514,1.811177,0.045681,0.276246,0.416768,1.560503
baseline_degree_mix_mass_3_SF_10_Dir_12_L2_drop0.3_S3,0.557909,1.726526,2.815756,0.234906,0.854387,0.013663,0.024175,0.019633,2.807080,1.320920,0.030509,0.193178,0.270273,1.064880
baseline_degree_mix_mass_3_HY_10_Dir_12_L2_drop0.3_S1,0.563677,1.739492,2.835882,0.256351,0.845750,0.013638,0.024531,0.019908,2.830579,1.338211,0.031035,0.195447,0.274591,1.074813
baseline_degree_mix_mass_3_SF_10_Sym_12_L2_drop0.3_S3,0.562802,1.731952,2.822262,0.236997,0.861573,0.013669,0.024495,0.0199,2.820454,1.322894,0.030984,0.195077,0.274223,1.076888
baseline_degree_mix_mass_3_HY_10_Sym_12_L2_drop0.3_S3,0.259724,0.745355,1.472273,0.138666,0.401648,0.007336,0.014836,0.011115,1.432772,0.643470,0.018162,0.100624,0.122327,0.600104
baseline_degree_mix_mass_3_HY_10_Dir_12_L2_drop0.3_S3,0.564534,1.739889,2.831552,0.238557,0.868960,0.013959,0.024704,0.020094,2.828401,1.326632,0.031301,0.196423,0.276508,1.078846
baseline_degree_mix_mass_3_HY_10_Sym_12_L2_drop0.3_S1,0.801167,2.487891,4.099952,0.332866,1.180070,0.018268,0.030131,0.026159,4.089941,1.929806,0.042635,0.273686,0.366509,1.523312
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S1,0.790988,2.246084,3.914468,0.353486,1.247593,0.019572,0.037274,0.029229,4.102647,1.812911,0.045992,0.276598,0.416559,1.565585
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S2,0.556115,1.726096,2.804430,0.234112,0.858710,0.013404,0.024024,0.01955,2.799890,1.313335,0.030483,0.192589,0.269005,1.060725
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S1,0.558278,1.721646,2.812052,0.236044,0.850909,0.013851,0.024437,0.019929,2.809561,1.315395,0.030834,0.194036,0.272353,1.067926
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S2,0.563466,1.733653,2.835797,0.239166,0.861548,0.014385,0.025227,0.02021,2.832998,1.318423,0.031252,0.195681,0.274926,1.080720
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,0.562995,1.733905,3.002957,0.237683,0.870453,0.013709,0.024549,0.019894,2.831101,1.325141,0.031036,0.195506,0.274493,1.083073
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,0.558259,1.657857,2.984250,0.234840,0.837098,0.013494,0.024163,0.019641,2.803341,1.318988,0.030505,0.192937,0.270309,1.062998
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S1,0.785385,2.236815,3.892773,0.351508,1.239911,0.019451,0.036850,0.028985,4.077143,1.806087,0.045442,0.274659,0.414038,1.559297
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,0.796377,2.468024,4.069370,0.323040,1.182650,0.0179,0.029781,0.025947,4.061451,1.917634,0.042250,0.271607,0.362720,1.516248
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,0.258970,0.749554,1.467436,0.138457,0.401418,0.007299,0.014806,0.011074,1.430619,0.643350,0.018142,0.100619,0.123040,0.599617
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.259275,0.747033,1.468007,0.138457,0.401501,0.007294,0.014830,0.011139,1.432706,0.643010,0.018099,0.100604,0.122950,0.599532
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir_12_L2_drop0.3_S3,0.563486,1.744905,2.828916,0.237346,0.864906,0.013537,0.024493,0.01987,2.831665,1.333071,0.031033,0.195859,0.301200,1.063681
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.555308,1.723841,2.950319,0.234364,0.856751,0.01337,0.024022,0.019577,2.795324,1.313243,0.030641,0.193077,0.291253,1.049619
baseline_degree_mix_mass_3_SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S3,0.557321,1.723867,2.954159,0.235015,0.861568,0.013901,0.024291,0.019736,2.812476,1.302422,0.030697,0.193548,0.271068,1.070305
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Sym_12_L2_drop0.3_S3,0.563244,1.672370,2.966721,0.237224,0.859794,0.013568,0.024531,0.019834,2.827662,1.316477,0.030893,0.195311,0.285327,1.059409
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,0.790459,2.246577,3.913530,0.353742,1.250925,0.019464,0.037196,0.029225,4.103360,1.810596,0.045637,0.290546,0.416781,1.557885
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,0.363529,1.028928,1.973960,0.193732,0.558271,0.008215,0.016299,0.013607,1.938543,0.852040,0.022396,0.139825,0.173280,0.804869
baseline_degree_mix_mass_3_SF_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,0.257885,0.743678,1.467065,0.138461,0.400706,0.007288,0.014904,0.011133,1.431724,0.643358,0.018131,0.100639,0.122670,0.599648
KADABRA_NK_err0.01_delta0.1_S1,28.238490,53.904529,87.287622,15.155689,59.005794,0.706475,3.103601,1.487022,156.296471,83.268176,1.640758,17.918315,29.390423,59.221772
