Algorithm,amazon,cit-Patents,com-lj,com-youtube,dblp,p2p-Gnutella31,email-EuAll,soc-Epinions1,soc-LiveJournal1,soc-Pokec,soc-Slashdot0902,web-Google,wiki-Talk,wiki-topcats
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.746,50.1602,57.0082,14.6242,51.2152,0.8038,3.3059,0.9907,67.3214,23.5345,1.1089,11.2349,29.9692,25.3307
baseline_degree_mix_d0d2_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.4968,49.6698,56.3541,14.4942,50.7687,0.7967,3.2795,0.9816,66.5926,23.2584,1.0977,11.1363,29.7265,25.0452
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.746,50.1602,57.0082,14.6242,51.2152,0.8038,3.3059,0.9907,67.3214,23.5345,1.1089,11.2349,29.9692,25.3307
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S1,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_independent_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S2,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_3_SF_10_Dir+SF_10_Sym+HY_10_Dir+HY_10_Sym_12_L2_drop0.3_S3,27.5999,49.8504,56.546,14.5486,50.9607,0.7997,3.2923,0.9852,66.8252,23.3367,1.1016,11.1784,29.8414,25.1312
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L0_drop0.3_S1,4.0569,7.3292,8.3177,2.1385,7.4902,0.1175,0.4838,0.1448,9.8279,3.4330,0.1620,1.6430,4.3853,3.6965
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S1,14.5297,25.6981,27.8277,7.6767,27.0109,0.423,1.7780,0.5151,33.4840,11.4011,0.5630,5.9165,16.0699,12.4389
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L0_drop0.3_S3,8.4692,15.0682,16.5375,4.4718,15.7145,0.2462,1.0291,0.3008,19.7945,6.7900,0.3309,3.4435,9.3082,7.3798
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L0_drop0.3_S2,8.4692,15.0682,16.5375,4.4718,15.7145,0.2462,1.0291,0.3008,19.7945,6.7900,0.3309,3.4435,9.3082,7.3798
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L0_drop0.3_S3,4.0569,7.3292,8.3177,2.1385,7.4902,0.1175,0.4838,0.1448,9.8279,3.4330,0.1620,1.6430,4.3853,3.6965
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S2,14.5297,25.6981,27.8277,7.6767,27.0109,0.423,1.7780,0.5151,33.4840,11.4011,0.5630,5.9165,16.0699,12.4389
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_16_L0_drop0.3_S3,14.5297,25.6981,27.8277,7.6767,27.0109,0.423,1.7780,0.5151,33.4840,11.4011,0.5630,5.9165,16.0699,12.4389
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L0_drop0.3_S2,55.2533,97.126,103.693,29.2124,102.9177,1.6106,6.8107,1.9550,125.4715,42.3851,2.1222,22.5340,61.5058,46.4342
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L0_drop0.3_S2,4.0569,7.3292,8.3177,2.1385,7.4902,0.1175,0.4838,0.1448,9.8279,3.4330,0.1620,1.6430,4.3853,3.6965
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_32_L0_drop0.3_S3,55.2533,97.126,103.693,29.2124,102.9177,1.6106,6.8107,1.9550,125.4715,42.3851,2.1222,22.5340,61.5058,46.4342
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L1_drop0.3_S3,8.5611,15.6564,18.2284,4.5065,15.7423,0.2474,1.0053,0.3069,21.3300,7.5526,0.3477,3.4561,9.1285,8.0761
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_8_L1_drop0.3_S2,8.5611,15.6564,18.2284,4.5065,15.7423,0.2474,1.0053,0.3069,21.3300,7.5526,0.3477,3.4561,9.1285,8.0761
baseline_degree_mix_mass_4_SF_10_Dir+SF_10_Sym+HY_10_Dir_12_L1_drop0.3_S1,18.1076,32.6142,36.7729,9.548,33.4649,0.525,2.1675,0.6458,43.5579,15.1623,0.7199,7.3392,19.6387,16.3552
